id,pokemon,species_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,color_1,color_2,color_f,egg_group_1,egg_group_2,url_icon,generation_id,url_image
443,Gible,443,0.7,20.5,60,dragon,ground,58,70,45,40,45,42,#7038F8,#E0C068,#8B58D5,monster,dragon,//archives.bulbagarden.net/media/upload/f/f7/443MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/443.png
444,Gabite,444,1.4,56.0,144,dragon,ground,68,90,65,50,55,82,#7038F8,#E0C068,#8B58D5,monster,dragon,//archives.bulbagarden.net/media/upload/5/58/444MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/444.png
445,Garchomp,445,1.9,95.0,270,dragon,ground,108,130,95,80,85,102,#7038F8,#E0C068,#8B58D5,monster,dragon,//archives.bulbagarden.net/media/upload/5/55/445MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/445.png
446,Munchlax,446,0.6,105.0,78,normal,NA,135,85,40,40,85,5,#A8A878,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/d/d7/446MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/446.png
447,Riolu,447,0.7,20.2,57,fighting,NA,40,70,40,35,40,60,#C03028,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/d/d6/447MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/447.png
448,Lucario,448,1.2,54.0,184,fighting,steel,70,110,70,115,70,90,#C03028,#B8B8D0,#BE5050,field,human-like,//archives.bulbagarden.net/media/upload/1/14/448MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/448.png
449,Hippopotas,449,0.8,49.5,66,ground,NA,68,72,78,38,42,32,#E0C068,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/8/81/449MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/449.png
450,Hippowdon,450,2.0,300.0,184,ground,NA,108,112,118,68,72,47,#E0C068,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/0/0b/450MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/450.png
451,Skorupi,451,0.8,12.0,66,poison,bug,40,50,90,30,55,65,#A040A0,#A8B820,#A15D80,bug,water3,//archives.bulbagarden.net/media/upload/4/49/451MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/451.png
452,Drapion,452,1.3,61.5,175,poison,dark,70,90,110,60,75,95,#A040A0,#705848,#94458A,bug,water3,//archives.bulbagarden.net/media/upload/7/78/452MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/452.png
453,Croagunk,453,0.7,23.0,60,poison,fighting,48,61,40,61,40,50,#A040A0,#C03028,#A73C82,human-like,NA,//archives.bulbagarden.net/media/upload/8/8a/453MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/453.png
454,Toxicroak,454,1.3,44.4,172,poison,fighting,83,106,65,86,65,85,#A040A0,#C03028,#A73C82,human-like,NA,//archives.bulbagarden.net/media/upload/1/1a/454MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/454.png
455,Carnivine,455,1.4,27.0,159,grass,NA,74,100,72,90,72,46,#78C850,NA,NA,plant,NA,//archives.bulbagarden.net/media/upload/8/85/455MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/455.png
456,Finneon,456,0.4,7.0,66,water,NA,49,49,56,49,61,66,#6890F0,NA,NA,water2,NA,//archives.bulbagarden.net/media/upload/6/60/456MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/456.png
457,Lumineon,457,1.2,24.0,161,water,NA,69,69,76,69,86,91,#6890F0,NA,NA,water2,NA,//archives.bulbagarden.net/media/upload/5/54/457MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/457.png
458,Mantyke,458,1.0,65.0,69,water,flying,45,20,50,60,120,50,#6890F0,#A890F0,#7790F0,no-eggs,NA,//archives.bulbagarden.net/media/upload/3/31/458MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/458.png
459,Snover,459,1.0,50.5,67,grass,ice,60,62,50,62,60,40,#78C850,#98D8D8,#7FCB70,monster,plant,//archives.bulbagarden.net/media/upload/5/5d/459MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/459.png
460,Abomasnow,460,2.2,135.5,173,grass,ice,90,92,75,92,85,60,#78C850,#98D8D8,#7FCB70,monster,plant,//archives.bulbagarden.net/media/upload/6/68/460MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/460.png
461,Weavile,461,1.1,34.0,179,dark,ice,70,120,65,45,85,125,#705848,#98D8D8,#79776A,field,NA,//archives.bulbagarden.net/media/upload/b/b4/461MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/461.png
462,Magnezone,462,1.2,180.0,241,electric,steel,70,70,115,130,90,60,#F8D030,#B8B8D0,#E8CA56,mineral,NA,//archives.bulbagarden.net/media/upload/9/9c/462MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/462.png
463,Lickilicky,463,1.7,140.0,180,normal,NA,110,85,95,80,95,50,#A8A878,NA,NA,monster,NA,//archives.bulbagarden.net/media/upload/7/76/463MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/463.png
464,Rhyperior,464,2.4,282.8,241,ground,rock,115,140,130,55,55,40,#E0C068,#B8A038,#D6B85C,monster,field,//archives.bulbagarden.net/media/upload/7/79/464MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/464.png
465,Tangrowth,465,2.0,128.6,187,grass,NA,100,100,125,110,50,50,#78C850,NA,NA,plant,NA,//archives.bulbagarden.net/media/upload/c/c1/465MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/465.png
466,Electivire,466,1.8,138.6,243,electric,NA,75,123,67,95,85,95,#F8D030,NA,NA,human-like,NA,//archives.bulbagarden.net/media/upload/2/2a/466MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/466.png
467,Magmortar,467,1.6,68.0,243,fire,NA,75,95,67,125,95,83,#F08030,NA,NA,human-like,NA,//archives.bulbagarden.net/media/upload/f/f2/467MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/467.png
468,Togekiss,468,1.5,38.0,245,fairy,flying,85,50,95,120,115,80,#EE99AC,#A890F0,#DD96BC,flying,fairy,//archives.bulbagarden.net/media/upload/b/b0/468MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/468.png
469,Yanmega,469,1.9,51.5,180,bug,flying,86,76,86,116,56,95,#A8B820,#A890F0,#A8AE52,bug,NA,//archives.bulbagarden.net/media/upload/8/8c/469MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/469.png
470,Leafeon,470,1.0,25.5,184,grass,NA,65,110,130,60,65,95,#78C850,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/7/77/470MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/470.png
471,Glaceon,471,0.8,25.9,184,ice,NA,65,60,110,130,95,65,#98D8D8,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/3/30/471MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/471.png
472,Gliscor,472,2.0,42.5,179,ground,flying,75,95,125,45,75,95,#E0C068,#A890F0,#D2B488,bug,NA,//archives.bulbagarden.net/media/upload/6/63/472MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/472.png
473,Mamoswine,473,2.5,291.0,239,ice,ground,110,130,80,70,60,80,#98D8D8,#E0C068,#A9D2BC,field,NA,//archives.bulbagarden.net/media/upload/9/92/473MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/473.png
474,Porygon-Z,474,0.9,34.0,241,normal,NA,85,80,70,135,75,90,#A8A878,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/2/28/474MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/474.png
475,Gallade,475,1.6,52.0,233,psychic,fighting,68,125,65,65,115,80,#F85888,#C03028,#EA4E70,human-like,amorphous,//archives.bulbagarden.net/media/upload/a/a8/475MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/475.png
476,Probopass,476,1.4,340.0,184,rock,steel,60,55,145,75,150,40,#B8A038,#B8B8D0,#B8A55C,mineral,NA,//archives.bulbagarden.net/media/upload/1/17/476MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/476.png
477,Dusknoir,477,2.2,106.6,236,ghost,NA,45,100,135,65,135,45,#705898,NA,NA,amorphous,NA,//archives.bulbagarden.net/media/upload/e/ef/477MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/477.png
478,Froslass,478,1.3,26.6,168,ice,ghost,70,80,70,80,70,110,#98D8D8,#705898,#8EB8C8,fairy,mineral,//archives.bulbagarden.net/media/upload/e/ec/478MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/478.png
479,Rotom,479,0.3,0.3,154,electric,ghost,50,50,77,95,77,91,#F8D030,#705898,#D7B249,amorphous,NA,//archives.bulbagarden.net/media/upload/6/62/479MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/479.png
480,Uxie,480,0.3,0.3,261,psychic,NA,75,75,130,75,130,95,#F85888,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/5/5c/480MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/480.png
481,Mesprit,481,0.3,0.3,261,psychic,NA,80,105,105,105,105,80,#F85888,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/4/45/481MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/481.png
482,Azelf,482,0.3,0.3,261,psychic,NA,75,125,70,125,70,115,#F85888,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/2/22/482MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/482.png
483,Dialga,483,5.4,683.0,306,steel,dragon,100,120,120,150,100,90,#B8B8D0,#7038F8,#A698D9,no-eggs,NA,//archives.bulbagarden.net/media/upload/3/37/483MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/483.png
484,Palkia,484,4.2,336.0,306,water,dragon,90,120,100,150,120,100,#6890F0,#7038F8,#697AF1,no-eggs,NA,//archives.bulbagarden.net/media/upload/2/27/484MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/484.png
485,Heatran,485,1.7,430.0,270,fire,steel,91,90,106,130,106,77,#F08030,#B8B8D0,#E28D56,no-eggs,NA,//archives.bulbagarden.net/media/upload/9/9e/485MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/485.png
486,Regigigas,486,3.7,420.0,302,normal,NA,110,160,110,80,110,100,#A8A878,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/3/3d/486MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/486.png
487,Giratina-Altered,487,4.5,750.0,306,ghost,dragon,150,100,120,100,120,90,#705898,#7038F8,#7050AF,no-eggs,NA,//archives.bulbagarden.net/media/upload/1/18/487MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/487.png
488,Cresselia,488,1.5,85.6,270,psychic,NA,120,70,120,75,130,85,#F85888,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/c/c3/488MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/488.png
489,Phione,489,0.4,3.1,216,water,NA,80,80,80,80,80,80,#6890F0,NA,NA,water1,fairy,//archives.bulbagarden.net/media/upload/6/6e/489MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/489.png
490,Manaphy,490,0.3,1.4,270,water,NA,100,100,100,100,100,100,#6890F0,NA,NA,water1,fairy,//archives.bulbagarden.net/media/upload/c/c2/490MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/490.png
491,Darkrai,491,1.5,50.5,270,dark,NA,70,90,90,135,90,125,#705848,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/d/d4/491MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/491.png
492,Shaymin-Land,492,0.2,2.1,270,grass,NA,100,100,100,100,100,100,#78C850,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/2/2b/492MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/492.png
493,Arceus,493,3.2,320.0,324,normal,NA,120,120,120,120,120,120,#A8A878,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/0/04/493MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/493.png
494,Victini,494,0.4,4.0,270,psychic,fire,100,100,100,100,100,100,#F85888,#F08030,#F66172,no-eggs,NA,//archives.bulbagarden.net/media/upload/b/b9/494MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/494.png
495,Snivy,495,0.6,8.1,62,grass,NA,45,45,55,45,55,63,#78C850,NA,NA,field,grass,//archives.bulbagarden.net/media/upload/0/07/495MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/495.png
496,Servine,496,0.8,16.0,145,grass,NA,60,60,75,60,75,83,#78C850,NA,NA,field,grass,//archives.bulbagarden.net/media/upload/6/6d/496MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/496.png
497,Serperior,497,3.3,63.0,238,grass,NA,75,75,95,75,95,113,#78C850,NA,NA,field,grass,//archives.bulbagarden.net/media/upload/1/1c/497MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/497.png
498,Tepig,498,0.5,9.9,62,fire,NA,65,63,45,45,45,45,#F08030,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/7/74/498MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/498.png
499,Pignite,499,1.0,55.5,146,fire,fighting,90,93,55,70,55,55,#F08030,#C03028,#E46C2E,field,NA,//archives.bulbagarden.net/media/upload/a/ad/499MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/499.png
500,Emboar,500,1.6,150.0,238,fire,fighting,110,123,65,100,65,65,#F08030,#C03028,#E46C2E,field,NA,//archives.bulbagarden.net/media/upload/a/ae/500MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/500.png
501,Oshawott,501,0.5,5.9,62,water,NA,55,55,45,63,45,45,#6890F0,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/b/bb/501MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/501.png
502,Dewott,502,0.8,24.5,145,water,NA,75,75,60,83,60,60,#6890F0,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/f/f1/502MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/502.png
503,Samurott,503,1.5,94.6,238,water,NA,95,100,85,108,70,70,#6890F0,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/7/73/503MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/503.png
504,Patrat,504,0.5,11.6,51,normal,NA,45,55,39,35,39,42,#A8A878,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/e/e2/504MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/504.png
505,Watchog,505,1.1,27.0,147,normal,NA,60,85,69,60,69,77,#A8A878,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/e/e3/505MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/505.png
506,Lillipup,506,0.4,4.1,55,normal,NA,45,60,45,25,45,55,#A8A878,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/6/62/506MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/506.png
507,Herdier,507,0.9,14.7,130,normal,NA,65,80,65,35,65,60,#A8A878,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/e/e6/507MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/507.png
508,Stoutland,508,1.2,61.0,225,normal,NA,85,110,90,45,90,80,#A8A878,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/7/74/508MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/508.png
509,Purrloin,509,0.4,10.1,56,dark,NA,41,50,37,50,37,66,#705848,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/4/4f/509MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/509.png
510,Liepard,510,1.1,37.5,156,dark,NA,64,88,50,88,50,106,#705848,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/6/68/510MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/510.png
511,Pansage,511,0.6,10.5,63,grass,NA,50,53,48,53,48,64,#78C850,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/1/11/511MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/511.png
512,Simisage,512,1.1,30.5,174,grass,NA,75,98,63,98,63,101,#78C850,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/0/07/512MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/512.png
513,Pansear,513,0.6,11.0,63,fire,NA,50,53,48,53,48,64,#F08030,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/f/f0/513MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/513.png
514,Simisear,514,1.0,28.0,174,fire,NA,75,98,63,98,63,101,#F08030,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/5/5b/514MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/514.png
515,Panpour,515,0.6,13.5,63,water,NA,50,53,48,53,48,64,#6890F0,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/c/c8/515MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/515.png
516,Simipour,516,1.0,29.0,174,water,NA,75,98,63,98,63,101,#6890F0,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/2/29/516MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/516.png
517,Munna,517,0.6,23.3,58,psychic,NA,76,25,45,67,55,24,#F85888,NA,NA,amorphous,NA,//archives.bulbagarden.net/media/upload/0/0a/517MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/517.png
518,Musharna,518,1.1,60.5,170,psychic,NA,116,55,85,107,95,29,#F85888,NA,NA,amorphous,NA,//archives.bulbagarden.net/media/upload/4/43/518MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/518.png
519,Pidove,519,0.3,2.1,53,normal,flying,50,55,50,36,30,43,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/3/3b/519MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/519.png
520,Tranquill,520,0.6,15.0,125,normal,flying,62,77,62,50,42,65,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/5/5d/520MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/520.png
521,Unfezant,521,1.2,29.0,220,normal,flying,80,115,80,65,55,93,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/e/e5/521MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/521.png
522,Blitzle,522,0.8,29.8,59,electric,NA,45,60,32,50,32,76,#F8D030,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/6/6d/522MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/522.png
523,Zebstrika,523,1.6,79.5,174,electric,NA,75,100,63,80,63,116,#F8D030,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/9/98/523MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/523.png
524,Roggenrola,524,0.4,18.0,56,rock,NA,55,75,85,25,25,15,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/2/20/524MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/524.png
525,Boldore,525,0.9,102.0,137,rock,NA,70,105,105,50,40,20,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/0/09/525MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/525.png
526,Gigalith,526,1.7,260.0,232,rock,NA,85,135,130,60,80,25,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/3/3b/526MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/526.png
527,Woobat,527,0.4,2.1,65,psychic,flying,65,45,43,55,43,72,#F85888,#A890F0,#E465A1,field,flying,//archives.bulbagarden.net/media/upload/2/2c/527MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/527.png
528,Swoobat,528,0.9,10.5,149,psychic,flying,67,57,55,77,55,114,#F85888,#A890F0,#E465A1,field,flying,//archives.bulbagarden.net/media/upload/d/d5/528MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/528.png
529,Drilbur,529,0.3,8.5,66,ground,NA,60,85,40,30,45,68,#E0C068,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/0/0e/529MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/529.png
530,Excadrill,530,0.7,40.4,178,ground,steel,110,135,60,50,65,88,#E0C068,#B8B8D0,#D6BE81,field,NA,//archives.bulbagarden.net/media/upload/7/78/530MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/530.png
531,Audino,531,1.1,31.0,390,normal,NA,103,60,86,60,86,50,#A8A878,NA,NA,fairy,NA,//archives.bulbagarden.net/media/upload/3/34/531MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/531.png
532,Timburr,532,0.6,12.5,61,fighting,NA,75,80,55,25,35,35,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/1/19/532MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/532.png
533,Gurdurr,533,1.2,40.0,142,fighting,NA,85,105,85,40,50,40,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/9/92/533MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/533.png
534,Conkeldurr,534,1.4,87.0,227,fighting,NA,105,140,95,55,65,45,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/6/6d/534MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/534.png
535,Tympole,535,0.5,4.5,59,water,NA,50,50,40,50,40,64,#6890F0,NA,NA,water1,NA,//archives.bulbagarden.net/media/upload/1/1e/535MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/535.png
536,Palpitoad,536,0.8,17.0,134,water,ground,75,65,55,65,55,69,#6890F0,#E0C068,#859BCF,water1,NA,//archives.bulbagarden.net/media/upload/f/f0/536MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/536.png
537,Seismitoad,537,1.5,62.0,229,water,ground,105,95,75,85,75,74,#6890F0,#E0C068,#859BCF,water1,NA,//archives.bulbagarden.net/media/upload/d/dc/537MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/537.png
538,Throh,538,1.3,55.5,163,fighting,NA,120,100,85,30,85,45,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/8/8a/538MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/538.png
539,Sawk,539,1.4,51.0,163,fighting,NA,75,125,75,30,75,85,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/0/03/539MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/539.png
540,Sewaddle,540,0.3,2.5,62,bug,grass,45,53,70,40,60,42,#A8B820,#78C850,#9CBB2B,bug,NA,//archives.bulbagarden.net/media/upload/e/e2/540MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/540.png
541,Swadloon,541,0.5,7.3,133,bug,grass,55,63,90,50,80,42,#A8B820,#78C850,#9CBB2B,bug,NA,//archives.bulbagarden.net/media/upload/e/e1/541MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/541.png
542,Leavanny,542,1.2,20.5,225,bug,grass,75,103,80,70,80,92,#A8B820,#78C850,#9CBB2B,bug,NA,//archives.bulbagarden.net/media/upload/a/a6/542MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/542.png
543,Venipede,543,0.4,5.3,52,bug,poison,30,45,59,30,39,57,#A8B820,#A040A0,#A69A3F,bug,NA,//archives.bulbagarden.net/media/upload/2/20/543MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/543.png
544,Whirlipede,544,1.2,58.5,126,bug,poison,40,55,99,40,79,47,#A8B820,#A040A0,#A69A3F,bug,NA,//archives.bulbagarden.net/media/upload/0/01/544MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/544.png
545,Scolipede,545,2.5,200.5,218,bug,poison,60,100,89,55,69,112,#A8B820,#A040A0,#A69A3F,bug,NA,//archives.bulbagarden.net/media/upload/6/68/545MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/545.png
546,Cottonee,546,0.3,0.6,56,grass,fairy,40,27,60,37,50,66,#78C850,#EE99AC,#94BC66,fairy,plant,//archives.bulbagarden.net/media/upload/8/87/546MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/546.png
547,Whimsicott,547,0.7,6.6,168,grass,fairy,60,67,85,77,75,116,#78C850,#EE99AC,#94BC66,fairy,plant,//archives.bulbagarden.net/media/upload/e/ed/547MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/547.png
548,Petilil,548,0.5,6.6,56,grass,NA,45,35,50,70,50,30,#78C850,NA,NA,plant,NA,//archives.bulbagarden.net/media/upload/c/cb/548MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/548.png
549,Lilligant,549,1.1,16.3,168,grass,NA,70,60,75,110,75,90,#78C850,NA,NA,plant,NA,//archives.bulbagarden.net/media/upload/5/59/549MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/549.png
550,Basculin,550,1.0,18.0,161,water,NA,70,92,65,80,55,98,#6890F0,NA,NA,water2,NA,//archives.bulbagarden.net/media/upload/2/20/550MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/550.png
